"","ARIK_2023_11","BARC_2023_11","BIGC_2023_10","BLUE_2023_10","BLWA_2023_11","COMO_2023_09","CRAM_2023_09","CUPE_2023_11","FLNT_2023_10","GUIL_2023_11","HOPB_2023_10","LECO_2023_10","LEWI_2023_10","LIRO_2023_09","MART_2023_10","MAYF_2023_10","POSE_2023_10","PRIN_2023_11","PRLA_2023_09","PRPO_2023_09","REDB_2023_10","SUGG_2023_10","TECR_2023_09","TOMB_2023_11","TOOK_2023_09","WALK_2023_10","WLOU_2023_09"
"ARIK_2023_11",0,0.958112113268441,0.995158506607455,0.990423551937266,0.994103611724024,0.99990846280588,0.984194142287009,0.995604128880414,0.988801846700246,0.997226320872639,0.998399952203616,0.998626276008542,0.998006345631593,0.992583094817513,0.99921848118253,0.970692064911546,0.99724967633678,0.981754414536019,0.999807323638671,0.997447137558542,0.99913037320253,0.999833249884144,0.999973098518397,0.993233278075998,0.968558543021,0.998411027699953,0.99999936370192
"BARC_2023_11",0.958112113268441,0,0.980810857560514,0.74496770287799,0.854435175807391,0.993478537202965,0.54972303106675,0.949217249825971,0.829911803927416,0.984323671623429,0.99153267936713,0.991421831299494,0.99499325843812,0.5699499283803,0.958971651761338,0.832711670394916,0.990826273664606,0.975471877797513,0.956941267978937,0.952898934677548,0.997225410303397,0.692883453701731,0.999970774237878,0.890627859700043,0.845573323965322,0.955939031617888,0.999242416730102
"BIGC_2023_10",0.995158506607455,0.980810857560514,0,0.949719632679469,0.977374373185502,0.788411601597657,0.953397355401601,0.713321464617866,0.938822913255027,0.964541078335415,0.43504031854615,0.88876894782242,0.790439114025231,0.955616466026816,0.503021979737551,0.842382453727627,0.941385926036968,0.978580595154252,0.99786575887394,0.995855278195195,0.80554192246069,0.996536794567223,0.719206626055582,0.981902634544223,0.833420429693623,0.912130242796136,0.956023730184606
"BLUE_2023_10",0.990423551937266,0.74496770287799,0.949719632679469,0,0.678870188520493,0.899701653960493,0.814826620619478,0.927847334736703,0.626594844217363,0.859007491282734,0.976183127771695,0.935246483297101,0.970325099553412,0.714616682811314,0.945402755522759,0.778858568030761,0.986424858318491,0.935903805057814,0.990739986149251,0.987401110718606,0.949049087413655,0.978090660286073,0.97758978358515,0.6238400491927,0.787481780187712,0.982510534509987,0.936024994183865
"BLWA_2023_11",0.994103611724024,0.854435175807391,0.977374373185502,0.678870188520493,0,0.969454173992611,0.839914391985751,0.98095361620159,0.443525201671029,0.982084097254279,0.992326269451228,0.983114973619516,0.980494777946796,0.944801878827681,0.95720771297383,0.936571966167878,0.993190476336701,0.946068015547737,0.911220859264385,0.951282810702688,0.975971440155076,0.987128486827648,0.998698901159422,0.553036794838675,0.959312169292876,0.992186526590885,0.926033930457794
"COMO_2023_09",0.99990846280588,0.993478537202965,0.788411601597657,0.899701653960493,0.969454173992611,0,0.988694563301263,0.987755586220199,0.992118062051297,0.988161307742767,0.944388774430127,0.895918314100851,0.96445635949924,0.961374669118788,0.75607714870828,0.947270269622288,0.991003752238595,0.933152557263874,0.997959746589748,0.997204824970104,0.502805539891284,0.997414586777143,0.58402435737708,0.967709282766209,0.958626213491786,0.985924826632513,0.75852543286946
"CRAM_2023_09",0.984194142287009,0.54972303106675,0.953397355401601,0.814826620619478,0.839914391985751,0.988694563301263,0,0.914760599872718,0.717709141316277,0.973194787846718,0.976318419461865,0.973446470428049,0.976106355823308,0.606206918591667,0.970382974921409,0.659565521282608,0.97511992466997,0.963048311944049,0.97077520403481,0.964293436599258,0.989513349009601,0.756633532188057,0.994623978628926,0.800716206393305,0.605101362883026,0.975261005012668,0.999360180819896
"CUPE_2023_11",0.995604128880414,0.949217249825971,0.713321464617866,0.927847334736703,0.98095361620159,0.987755586220199,0.914760599872718,0,0.929145857833796,0.478546968065736,0.982311695483755,0.885494221010577,0.92390820732953,0.948008091075148,0.929181254998904,0.805166545590677,0.956698199984945,0.949774110335197,0.996516529748349,0.9965996212843,0.993218636695636,0.927422874377548,0.992484378632147,0.931678789553119,0.822724243345578,0.927524121310244,0.985034789699399
"FLNT_2023_10",0.988801846700246,0.829911803927416,0.938822913255027,0.626594844217363,0.443525201671029,0.992118062051297,0.717709141316277,0.929145857833796,0,0.678422343624624,0.983027350822321,0.967932445841664,0.980885676696408,0.9296354405359,0.969626166623992,0.776616952019782,0.984994464951243,0.95322300564997,0.982385089056841,0.992111575117192,0.982075311587436,0.977887304757185,0.994055530866238,0.396950406201335,0.812571403113207,0.987474500240663,0.999482714706614
"GUIL_2023_11",0.997226320872639,0.984323671623429,0.964541078335415,0.859007491282734,0.982084097254279,0.988161307742767,0.973194787846718,0.478546968065736,0.678422343624624,0,0.97964004928627,0.919297835831364,0.898544142553115,0.974034351073295,0.916146532011401,0.926481937824048,0.988334100742267,0.908471289331733,0.986534210048862,0.994829694806265,0.977337445743043,0.981701941148915,0.966621615715147,0.679026696536682,0.931952302566643,0.981375401615049,0.996927581476391
"HOPB_2023_10",0.998399952203616,0.99153267936713,0.43504031854615,0.976183127771695,0.992326269451228,0.944388774430127,0.976318419461865,0.982311695483755,0.983027350822321,0.97964004928627,0,0.748960366402623,0.792617075845416,0.962665508304139,0.466742826345466,0.950239750177137,0.965407534752969,0.980823937839882,0.999386201777667,0.998880875684076,0.831416811614093,0.994781100539345,0.95922213911617,0.991697613275904,0.96698649593655,0.774903371799096,0.978022176793451
"LECO_2023_10",0.998626276008542,0.991421831299494,0.88876894782242,0.935246483297101,0.983114973619516,0.895918314100851,0.973446470428049,0.885494221010577,0.967932445841664,0.919297835831364,0.748960366402623,0,0.92833648553593,0.954272457590223,0.882180702147606,0.911926267514738,0.950195901668735,0.957622757686019,0.997429899753205,0.997478503218291,0.873311692946414,0.993072983156822,0.937466728163245,0.952755978136535,0.927381500265205,0.83878775473559,0.935192823720681
"LEWI_2023_10",0.998006345631593,0.99499325843812,0.790439114025231,0.970325099553412,0.980494777946796,0.96445635949924,0.976106355823308,0.92390820732953,0.980885676696408,0.898544142553115,0.792617075845416,0.92833648553593,0,0.940407345273327,0.831283422781082,0.902475739792846,0.858512937462274,0.941675548466751,0.995795677612127,0.99328524822209,0.971883122155255,0.988947076036011,0.969184671682768,0.984903431319008,0.900121744536236,0.965025811338386,0.979673350306532
"LIRO_2023_09",0.992583094817513,0.5699499283803,0.955616466026816,0.714616682811314,0.944801878827681,0.961374669118788,0.606206918591667,0.948008091075148,0.9296354405359,0.974034351073295,0.962665508304139,0.954272457590223,0.940407345273327,0,0.893683338724066,0.801674019861194,0.967110597764064,0.968945026981479,0.980606643950464,0.817652446566247,0.927089206207605,0.913121459615291,0.9943663976444,0.903284061312719,0.797272539741563,0.951353142646242,0.997039678960954
"MART_2023_10",0.99921848118253,0.958971651761338,0.503021979737551,0.945402755522759,0.95720771297383,0.75607714870828,0.970382974921409,0.929181254998904,0.969626166623992,0.916146532011401,0.466742826345466,0.882180702147606,0.831283422781082,0.893683338724066,0,0.934884345411662,0.98150349921196,0.952564502420428,0.99807299849106,0.997324723691976,0.633019918076974,0.989943024803527,0.830230994798311,0.955843585955713,0.952624498744898,0.936828334439566,0.932438555620815
"MAYF_2023_10",0.970692064911546,0.832711670394916,0.842382453727627,0.778858568030761,0.936571966167878,0.947270269622288,0.659565521282608,0.805166545590677,0.776616952019782,0.926481937824048,0.950239750177137,0.911926267514738,0.902475739792846,0.801674019861194,0.934884345411662,0,0.945931114633515,0.940414353327776,0.997797336736074,0.985808085935446,0.951953254346175,0.971854779207351,0.988965167862581,0.915290243188267,0.32491126184673,0.928811246043179,0.991445120582573
"POSE_2023_10",0.99724967633678,0.990826273664606,0.941385926036968,0.986424858318491,0.993190476336701,0.991003752238595,0.97511992466997,0.956698199984945,0.984994464951243,0.988334100742267,0.965407534752969,0.950195901668735,0.858512937462274,0.967110597764064,0.98150349921196,0.945931114633515,0,0.980181938040847,0.996538862454746,0.996665596217068,0.989451134319855,0.995403589127274,0.994800990333774,0.993653137138826,0.93683995511452,0.867331611835387,0.996564961469269
"PRIN_2023_11",0.981754414536019,0.975471877797513,0.978580595154252,0.935903805057814,0.946068015547737,0.933152557263874,0.963048311944049,0.949774110335197,0.95322300564997,0.908471289331733,0.980823937839882,0.957622757686019,0.941675548466751,0.968945026981479,0.952564502420428,0.940414353327776,0.980181938040847,0,0.996620693759005,0.998709827141948,0.958265092564233,0.986367523934107,0.96669908955198,0.897677985516381,0.966815672471514,0.988750663616136,0.109542903107825
"PRLA_2023_09",0.999807323638671,0.956941267978937,0.99786575887394,0.990739986149251,0.911220859264385,0.997959746589748,0.97077520403481,0.996516529748349,0.982385089056841,0.986534210048862,0.999386201777667,0.997429899753205,0.995795677612127,0.980606643950464,0.99807299849106,0.997797336736074,0.996538862454746,0.996620693759005,0,0.832186688270803,0.998861856633465,0.95980452002813,0.999432850761351,0.964033209786813,0.961271302874856,0.999568098734818,0.999981703241866
"PRPO_2023_09",0.997447137558542,0.952898934677548,0.995855278195195,0.987401110718606,0.951282810702688,0.997204824970104,0.964293436599258,0.9965996212843,0.992111575117192,0.994829694806265,0.998880875684076,0.997478503218291,0.99328524822209,0.817652446566247,0.997324723691976,0.985808085935446,0.996665596217068,0.998709827141948,0.832186688270803,0,0.999071491698304,0.975046882031032,0.999429248146538,0.986749473718547,0.969898025641093,0.999119538644317,0.999969128546574
"REDB_2023_10",0.99913037320253,0.997225410303397,0.80554192246069,0.949049087413655,0.975971440155076,0.502805539891284,0.989513349009601,0.993218636695636,0.982075311587436,0.977337445743043,0.831416811614093,0.873311692946414,0.971883122155255,0.927089206207605,0.633019918076974,0.951953254346175,0.989451134319855,0.958265092564233,0.998861856633465,0.999071491698304,0,0.99939821902045,0.528620056154906,0.964069662482353,0.981167647128834,0.966500617623888,0.863424378153546
"SUGG_2023_10",0.999833249884144,0.692883453701731,0.996536794567223,0.978090660286073,0.987128486827648,0.997414586777143,0.756633532188057,0.927422874377548,0.977887304757185,0.981701941148915,0.994781100539345,0.993072983156822,0.988947076036011,0.913121459615291,0.989943024803527,0.971854779207351,0.995403589127274,0.986367523934107,0.95980452002813,0.975046882031032,0.99939821902045,0,0.998729802006672,0.982694611606472,0.987502121509384,0.997301552731531,0.998957173481827
"TECR_2023_09",0.999973098518397,0.999970774237878,0.719206626055582,0.97758978358515,0.998698901159422,0.58402435737708,0.994623978628926,0.992484378632147,0.994055530866238,0.966621615715147,0.95922213911617,0.937466728163245,0.969184671682768,0.9943663976444,0.830230994798311,0.988965167862581,0.994800990333774,0.96669908955198,0.999432850761351,0.999429248146538,0.528620056154906,0.998729802006672,0,0.993002990446957,0.993078088731455,0.941320712947198,0.930324936204064
"TOMB_2023_11",0.993233278075998,0.890627859700043,0.981902634544223,0.6238400491927,0.553036794838675,0.967709282766209,0.800716206393305,0.931678789553119,0.396950406201335,0.679026696536682,0.991697613275904,0.952755978136535,0.984903431319008,0.903284061312719,0.955843585955713,0.915290243188267,0.993653137138826,0.897677985516381,0.964033209786813,0.986749473718547,0.964069662482353,0.982694611606472,0.993002990446957,0,0.881882477080875,0.989060103035031,0.946415400062801
"TOOK_2023_09",0.968558543021,0.845573323965322,0.833420429693623,0.787481780187712,0.959312169292876,0.958626213491786,0.605101362883026,0.822724243345578,0.812571403113207,0.931952302566643,0.96698649593655,0.927381500265205,0.900121744536236,0.797272539741563,0.952624498744898,0.32491126184673,0.93683995511452,0.966815672471514,0.961271302874856,0.969898025641093,0.981167647128834,0.987502121509384,0.993078088731455,0.881882477080875,0,0.947185253555575,0.995908996645502
"WALK_2023_10",0.998411027699953,0.955939031617888,0.912130242796136,0.982510534509987,0.992186526590885,0.985924826632513,0.975261005012668,0.927524121310244,0.987474500240663,0.981375401615049,0.774903371799096,0.83878775473559,0.965025811338386,0.951353142646242,0.936828334439566,0.928811246043179,0.867331611835387,0.988750663616136,0.999568098734818,0.999119538644317,0.966500617623888,0.997301552731531,0.941320712947198,0.989060103035031,0.947185253555575,0,0.991638553516752
"WLOU_2023_09",0.99999936370192,0.999242416730102,0.956023730184606,0.936024994183865,0.926033930457794,0.75852543286946,0.999360180819896,0.985034789699399,0.999482714706614,0.996927581476391,0.978022176793451,0.935192823720681,0.979673350306532,0.997039678960954,0.932438555620815,0.991445120582573,0.996564961469269,0.109542903107825,0.999981703241866,0.999969128546574,0.863424378153546,0.998957173481827,0.930324936204064,0.946415400062801,0.995908996645502,0.991638553516752,0
